side,qty,rate,time
2,0.1,259357026220,2026-03-24 03:17:20.512
2,0.1,257004431810,2026-03-24 03:17:20.238
2,0.1,254651837390,2026-03-24 03:17:19.962
2,0.1,252299242980,2026-03-24 03:17:19.697
2,0.1,249946648570,2026-03-24 03:17:19.407
2,0.1,247594054150,2026-03-24 03:17:19.138
1,0.1,222924828410,2026-03-24 03:17:17.208
1,0.1,220572233990,2026-03-24 03:17:17.471
1,0.1,218219639580,2026-03-24 03:17:17.730
1,0.1,215867045170,2026-03-24 03:17:18.045
1,0.1,213514450750,2026-03-24 03:17:18.474
1,0.1,211161856340,2026-03-24 03:17:18.736
