side,qty,rate,time
2,25.0,36000000,2025-10-12 12:46:38.732
2,25.0,23000000,2025-10-12 13:17:06.731
2,25.0,21000000,2025-10-12 12:44:24.732
2,10.0,20339090,2025-10-13 01:52:33.509
2,10.0,20150930,2025-10-13 01:52:33.223
2,10.0,19962760,2025-10-13 01:52:32.929
2,10.0,19774600,2025-10-13 01:52:32.637
2,10.0,19586430,2025-10-13 01:52:32.351
1,10.0,18046670,2025-10-13 01:52:30.885
1,10.0,17858500,2025-10-13 01:52:31.166
1,10.0,17670340,2025-10-13 01:52:31.463
1,10.0,17482170,2025-10-13 01:52:31.747
1,10.0,17294010,2025-10-13 01:52:32.041
