side,qty,rate,time
2,0.1,19523720,2025-10-06 02:11:33.777
2,0.1,19504950,2025-10-06 02:11:33.517
2,0.1,19486170,2025-10-06 02:11:33.245
2,0.1,19467400,2025-10-06 02:11:32.935
2,0.1,19448620,2025-10-06 02:11:32.705
2,10.0,19181480,2025-10-06 02:18:47.727
2,10.0,19181480,2025-10-06 02:19:03.771
2,10.0,19170250,2025-10-06 02:16:20.698
2,10.0,19159030,2025-10-06 02:19:17.763
2,10.0,19159030,2025-10-06 02:18:47.245
2,10.0,19159030,2025-10-06 02:17:50.383
2,10.0,19159030,2025-10-06 02:19:31.379
2,10.0,19159030,2025-10-06 02:17:49.989
2,10.0,19159030,2025-10-06 02:19:30.924
2,10.0,19159030,2025-10-06 02:17:50.829
2,10.0,19151890,2025-10-06 02:17:49.582
2,10.0,19139640,2025-10-06 02:17:49.184
2,10.0,19137600,2025-10-06 02:12:50.588
1,10.0,18293940,2025-10-06 02:14:31.257
1,10.0,18291000,2025-10-06 02:16:46.729
1,10.0,18285120,2025-10-06 02:17:17.018
1,10.0,18276310,2025-10-06 02:14:31.628
1,9.8,18276310,2025-10-06 02:12:49.906
1,10.0,18276310,2025-10-06 02:13:45.620
1,0.2,18263560,2025-10-06 02:13:01.709
1,10.0,18254740,2025-10-06 02:20:00.802
1,9.9,18254740,2025-10-06 02:19:03.037
1,10.0,18254740,2025-10-06 02:13:02.114
1,10.0,18246900,2025-10-06 02:20:01.578
1,10.0,18246900,2025-10-06 02:20:01.193
1,10.0,18246900,2025-10-06 02:19:16.427
1,0.1,18246900,2025-10-06 02:20:01.993
1,0.1,18246900,2025-10-06 02:19:16.045
1,7.7,18246900,2025-10-06 02:19:16.802
1,0.1,18104400,2025-10-06 02:11:31.294
1,0.1,18085620,2025-10-06 02:11:31.545
1,0.1,18066850,2025-10-06 02:11:31.791
1,0.1,18048070,2025-10-06 02:11:32.038
1,0.1,18029300,2025-10-06 02:11:32.292
