side,qty,rate,time
2,2.0,105031640,2025-04-29 02:19:38.038
2,2.0,104931660,2025-04-29 02:19:37.680
2,2.0,104831680,2025-04-29 02:19:37.335
2,2.0,104731710,2025-04-29 02:19:36.965
2,2.0,104631730,2025-04-29 02:19:36.340
2,2.0,104531760,2025-04-29 02:19:35.993
2,2.0,104431780,2025-04-29 02:19:35.586
1,2.0,95520660,2025-04-29 02:19:32.009
1,2.0,95420680,2025-04-29 02:19:32.356
1,2.0,95320710,2025-04-29 02:19:32.702
1,2.0,95220730,2025-04-29 02:19:33.576
1,2.0,95120760,2025-04-29 02:19:33.950
1,2.0,95020780,2025-04-29 02:19:34.316
1,2.0,94920800,2025-04-29 02:19:34.923
