id,network,launched,lastupdated,apiversions,feepercentage,closed,voting,voted,expired,missed,vspdversion,blockheight,estimatednetworkproportion
big.decred.energy,mainnet,2022-05-01,2026-09-11 05:27:07,[3],0.32,False,1596,33919,208,9,1.5.0,1114141,0.03910902
dcr.cerebro.host,mainnet,2024-09-09,2026-09-11 05:27:07,[3],0.888,False,40,233,0,3,1.4.0+d190a83b6,1114141,0.0009801759
dcrhive.com,mainnet,2022-06-23,2026-09-11 05:27:07,[3],1,False,256,32415,248,2,1.4.0+d190a83b6,1114141,0.006273126
dcrvsp.ubiqsmart.com,mainnet,2020-12-25,2026-09-11 05:27:07,[3],0.9500000000000001,False,89,15886,108,320,1.4.0+d190a83b6,1114141,0.0021808916
decred.stake.fun,mainnet,2021-01-28,2026-09-11 05:27:07,[3],0.5,False,102,35481,225,111,1.4.0,1114141,0.0024994486000000002
decredvoting.com,mainnet,2021-02-01,2026-09-11 05:27:07,[3],1,False,116,10043,72,2,1.5.0,1114141,0.0028425101
stakey.net,mainnet,2020-10-22,2026-09-11 05:27:07,[3],1,False,163,39002,292,5,1.5.0,1114141,0.003994217
testnet-vsp.jholdstock.uk,testnet,2021-01-20,2026-09-11 05:27:07,[3],0.6900000000000001,False,682,471653,1084,2202,1.6.0-pre+8c8c89625,1999758,0.15260684
teststakepool.decred.org,testnet,2020-06-01,1970-01-01 00:00:00,,0,False,0,0,0,0,,0,0
ultravsp.uk,mainnet,2020-12-01,2026-09-11 05:27:07,[3],0.30000000000000004,False,232,22952,160,47,1.5.0+bb64e457b,1114141,0.0056850202
vote.dcr-swiss.ch,mainnet,2023-06-30,2026-09-11 05:27:07,[3],0.18,False,719,36828,250,3,1.4.0+d190a83b6,1114141,0.017618662
vsp.dcr.farm,mainnet,2020-12-09,2026-09-11 05:27:07,[3],0.5,False,1174,23051,127,2,1.4.0,1114141,0.028768163000000003
vsp.decredcommunity.org,mainnet,2020-11-05,2026-09-11 05:27:07,[3],0.49,False,514,27016,172,41,1.4.0+d190a83b6,1114141,0.0125952605
vsp.stakeminer.com,mainnet,2020-11-09,2026-09-11 05:27:07,[3],1,False,206,38424,261,0,1.5.0+bb64e457b,1114141,0.0050479060000000004
vspd.bass.cf,mainnet,2022-05-01,2026-09-11 05:27:07,[3],0.16,False,186,31644,189,80,1.4.0,1114141,0.004557818
